"shared_fn" "total_fn" "share_percentage_fn" "coverage_line_count" "total_line_count" "coverage_percentage" "coverage_bucket" "contrib_count" "commit_count" "branch_count"
"high-scale-lib" 122 373 32.620320855615 6101 10969 55.6203847205762 "60%" 3 63 9
"jasmine-maven-plugin" 30 200 14.9253731343284 1581 6559 24.1042841896631 "20%" 10 357 9
"spring-hateoas" 14 44 31.1111111111111 427 554 77.0758122743682 "80%" 2 14 2
"jdeb" 33 150 21.8543046357616 4363 7284 59.8984074684239 "60%" 15 312 3
"sign-in-with-twitter" 4 4 80 0 86 0 "0%" 2 4 2
"liblinear-java" 24 125 19.047619047619 0 3314 0 "0%" 3 73 3
"low-gc-membuffers" 34 264 12.8301886792453 3793 5150 73.6504854368932 "70%" 2 109 3
"TProfiler" 30 152 19.6078431372549 0 1765 0 "0%" 2 25 3
"jargs" 2 34 5.71428571428571 557 591 94.2470389170897 "90%" 1 26 2
"dumbster" 34 113 29.8245614035088 1472 1624 90.64039408867 "90%" 6 109 2
"jreversepro" 72 633 11.3564668769716 0 8529 0 "0%" 5 145 3
"async-http-client" 355 1599 22.1875 5299 23692 22.3661995610333 "20%" 49 1539 7
"droolsjbpm-integration" 626 1932 32.3848939472323 4162 5587 74.4943619115805 "70%" 44 1360 7
"blueprints" 231 1349 17.1111111111111 26716 35408 75.4518752824221 "80%" 30 1095 4
"scala-maven-plugin" 54 352 15.2974504249292 213 9819 2.16926367247174 "0%" 23 332 6
"CassJMeter" 38 264 14.3396226415094 0 3085 0 "0%" 6 40 2
"command-manager" 25 86 28.735632183908 4861 122895 3.95540908905977 "0%" 1 24 3
"s3-wagon-private" 0 6 0 0 99 0 "0%" 3 23 2
"hibernate-tools" 182 1413 12.8712871287129 25173 37751 66.6816773065614 "70%" 3 41 4
"PDT-Extensions" 174 1062 16.3687676387582 0 22592 0 "0%" 4 91 5
"lesscss-engine" 17 46 36.1702127659574 913 1340 68.134328358209 "70%" 11 105 2
"java-cloudfiles" 56 247 22.5806451612903 345 11848 2.91188386225523 "0%" 13 77 14
"wordnik-oss" 30 118 25.2100840336134 1474 2499 58.9835934373749 "60%" 9 183 5
"coffee-maven-plugin" 5 33 14.7058823529412 56 1101 5.08628519527702 "10%" 5 124 12
"behemoth" 135 275 48.9130434782609 2516 10799 23.2984535605149 "20%" 5 181 3
"elasticflume" 5 24 20 390 484 80.5785123966942 "80%" 7 86 2
"couchdb4j" 43 183 23.3695652173913 456 3861 11.8104118104118 "10%" 12 52 4
"flyingsaucer" 618 4492 13.7547295793456 0 57319 0 "0%" 24 2443 6
"atom-hopper" 60 397 15.0753768844221 3460 7750 44.6451612903226 "40%" 21 938 13
"nutz" 734 3966 18.5026468364003 45575 97066 46.952588960089 "50%" 26 2856 24
"netty-tools" 33 71 45.8333333333333 1048 2069 50.6524891251812 "50%" 8 86 3
"WebWorks" 374 2239 16.6964285714286 0 32260 0 "0%" 6 22 3
"scale7-pelops" 56 707 7.90960451977401 1771 10010 17.6923076923077 "20%" 13 359 5
"Mongo-Tomcat-Sessions" 23 73 31.0810810810811 0 504 0 "0%" 2 17 2
"quickstarts" 51 152 33.3333333333333 277 296 93.5810810810811 "90%" 15 153 6
"java-cas-client" 80 400 19.9501246882793 3778 7242 52.167909417288 "50%" 11 302 2
"JActor" 35 311 11.2179487179487 2940 3787 77.634011090573 "80%" 2 885 2
"dsi-tools" 93 265 34.9624060150376 0 1634 0 "0%" 1 257 3
"encog-java-workbench" 360 1409 25.531914893617 0 19653 0 "0%" 6 928 4
"Moneychanger" 441 3158 13.960113960114 0 35036 0 "0%" 2 80 2
"epublib" 141 730 19.2886456908345 11121 20621 53.93045924058 "50%" 7 462 3
"snacktory" 22 138 15.8273381294964 3073 3994 76.9404106159239 "80%" 7 118 2
"jPOS" 616 3378 18.2302456348032 0 71688 0 "0%" 32 3215 4
"Multiverse-Portals" 33 203 16.1764705882353 0 2892 0 "0%" 11 191 4
"graphdb" 1247 4721 26.4083015671326 45012 73070 61.6012043246202 "60%" 25 2335 4
"fluxtream-cli" 22 33 64.7058823529412 0 1166 0 "0%" 1 8 2
"vSpawn" 4 9 40 0 123 0 "0%" 2 9 2
"jackson-module-hibernate" 5 29 16.6666666666667 358 610 58.6885245901639 "60%" 5 69 5
"mustache.java" 50 254 19.6078431372549 5609 7270 77.1526822558459 "80%" 11 679 2
"xpathapi-jaxp" 4 39 10 479 592 80.9121621621622 "80%" 1 43 3
"telepathy" 32 275 11.5942028985507 7631 9180 83.1263616557734 "80%" 17 141 2
"stemshell" 18 45 39.1304347826087 0 413 0 "0%" 1 6 3
"spring-amqp-samples" 36 158 22.6415094339623 461 1645 28.0243161094225 "30%" 6 76 3
"smacklig" 3 3 75 0 117 0 "0%" 1 7 2
"jOOQ" 1105 7703 14.3431983385254 19665 74014 26.5692977004351 "30%" 8 1330 9
"cuke4duke" 48 336 14.2433234421365 2677 27180 9.84915378955114 "10%" 38 649 17
"lib-scripty" 89 598 14.8580968280467 10110 20077 50.3561289037207 "50%" 1 13 2
"awaitility" 28 138 20.1438848920863 2427 3238 74.9536751080914 "70%" 6 147 2
"JEmailer" 1 5 16.6666666666667 238 297 80.1346801346801 "80%" 1 2 2
"ExcelCompare" 4 40 9.75609756097561 0 475 0 "0%" 3 23 3
