"shared_fn" "total_fn" "share_percentage_fn" "coverage_line_count" "total_line_count" "coverage_percentage" "coverage_bucket" "contrib_count" "commit_count" "branch_count"
"ImageLoader" 51 264 19.2452830188679 765 3672 20.8333333333333 "20%" 6 293 5
"android-emulator-plugin" 49 469 10.4255319148936 0 4304 0 "0%" 9 228 6
"arquillian-core" 170 735 23.0978260869565 13263 27256 48.660845318462 "50%" 26 684 5
"longcat" 3 14 20 264 307 85.9934853420195 "90%" 1 16 3
"jackson-annotations" 6 38 15.3846153846154 0 638 0 "0%" 4 78 4
"hector-jpa" 59 380 15.4855643044619 0 9642 0 "0%" 11 175 4
"scrutineer" 27 114 23.4782608695652 1455 1804 80.6541019955654 "80%" 7 126 2
"Tudu-Lists" 64 279 22.8571428571429 177 5015 3.52941176470588 "0%" 2 57 2
"rabbitmq-java-client" 160 798 20.0250312891114 0 16871 0 "0%" 26 1891 320
"spring-roo" 627 5484 11.4311759343665 20499 128429 15.9613482936097 "20%" 21 4325 4
"fastjson" 246 1030 23.8603297769156 46536 50373 92.3828241319755 "90%" 5 418 4
"java-merge-sort" 15 87 17.0454545454545 400 2015 19.8511166253102 "20%" 3 37 3
"indextank-engine" 2068 6313 32.7526132404181 18018 205663 8.76093414955534 "10%" 8 87 3
"gwt-maven-archetypes" 0 0 0 0 1385 0 "0%" 5 74 2
"Spout" 378 1790 21.105527638191 316 49232 0.641858953526162 "0%" 47 1561 8
"java-simplegeo" 38 197 19.1919191919192 827 4174 19.8131288931481 "20%" 10 212 8
"citrus" 1897 7201 26.3399055817828 110100 124750 88.2565130260521 "90%" 1 211 4
"jedis" 97 1878 5.16232038318254 3682 23464 15.6921241050119 "20%" 41 470 4
"cleo-primer" 19 54 34.5454545454545 0 538 0 "0%" 2 47 3
"maven-git-commit-id-plugin" 15 91 16.304347826087 1421 2156 65.9090909090909 "70%" 8 214 2
"lu" 1 7 12.5 0 120 0 "0%" 1 6 2
"resty-gwt" 86 422 20.3309692671395 214 13837 1.54657801546578 "0%" 30 409 3
"swagger-codegen" 107 540 19.7781885397412 0 5539 0 "0%" 12 167 7
"storm-esper" 6 40 14.6341463414634 827 898 92.0935412026726 "90%" 1 28 3
"jchronic" 65 239 27.0833333333333 7990 9467 84.398436674765 "80%" 3 22 2
"jruby-maven-plugins" 74 532 13.8836772983114 881 6872 12.8201396973225 "10%" 12 842 6
"rayo-server" 476 2321 20.4995693367786 6359 11819 53.8031982401218 "50%" 8 792 4
"andruil" 52 101 50.9803921568627 0 875 0 "0%" 1 11 2
"mgwt" 337 2491 13.5232744783307 3355 29455 11.3902563232049 "10%" 7 862 2
"ttorrent" 110 453 24.2290748898678 0 5877 0 "0%" 7 103 3
"restfulie-java" 107 358 29.8050139275766 1786 3569 50.042028579434 "50%" 21 282 4
"Clu-HitMan" 10 29 33.3333333333333 0 271 0 "0%" 2 12 2
"enterprise" 445 1475 30.1490514905149 2440 6059 40.2706717280079 "40%" 38 4779 11
"java-api-wrapper" 44 168 26.0355029585799 3029 3685 82.1981004070556 "80%" 3 200 3
"springside4" 109 462 23.5421166306695 2686 9640 27.8630705394191 "30%" 5 313 2
"GCViewer" 135 701 19.2307692307692 9534 28435 33.529101459469 "30%" 5 226 2
"AcadCoordParser" 15 40 36.5853658536585 0 472 0 "0%" 1 12 2
"ToHPluginUtils" 31 152 20.2614379084967 1553 4763 32.605500734831 "30%" 2 79 2
"Sysmon" 28 233 11.965811965812 2823 5356 52.7072442120986 "50%" 1 17 3
"maven-thrift-plugin" 7 34 20 0 483 0 "0%" 4 52 2
"geohash-java" 17 104 16.1904761904762 2981 3223 92.4914675767918 "90%" 6 108 2
"cqrs-lottery" 56 247 22.5806451612903 2760 4361 63.2882366429718 "60%" 1 18 4
"natty" 215 706 30.4101838755304 3624 205197 1.76610769163292 "0%" 4 181 2
"PermissionsEx" 88 592 14.8397976391231 123 17895 0.68734283319363 "0%" 17 507 4
"spring-mvc-quickstart-archetype" 0 0 0 0 368 0 "0%" 4 42 2
"Java-Chronicle" 124 338 36.5781710914454 1711 5401 31.6793186446954 "30%" 4 79 2
"disruptorWizard" 2 25 7.69230769230769 0 755 0 "0%" 2 22 3
"jmustache" 8 63 12.5 1958 2263 86.5223155103844 "90%" 9 126 4
"scribe-java" 34 284 11.9298245614035 1593 3474 45.8549222797927 "50%" 38 260 4
"Ektorp" 254 1193 21.2730318257956 15693 22661 69.2511363134901 "70%" 20 215 2
"pignlproc" 27 81 32.9268292682927 2897 3983 72.7341200100427 "70%" 3 175 5
"extensions" 296 945 31.2896405919662 0 14748 0 "0%" 19 698 2
"nosql-unit" 52 406 12.7764127764128 0 8198 0 "0%" 2 101 3
"fuse" 1047 4591 22.8005226480836 8665 39201 22.1040279584704 "20%" 26 2878 7
"cling" 739 3837 19.254820218864 47201 86239 54.7327775136539 "50%" 3 14 2
"xAuth" 42 220 19.0045248868778 0 3132 0 "0%" 5 211 3
"grails-maven" 56 146 38.0952380952381 307 15969 1.92247479491515 "0%" 14 161 5
"bioformats" 2688 20894 12.8643216080402 8611 57472 14.9829482182628 "10%" 33 8674 15
"trevni" 59 218 26.9406392694064 0 3345 0 "0%" 5 122 4
"CTimer" 2 9 20 0 143 0 "0%" 1 1 2
"selenium-screenshot-recorder" 2 22 8.69565217391304 0 164 0 "0%" 1 6 2
"VanishNoPacket" 56 256 21.7898832684825 0 3077 0 "0%" 10 259 5
"smooks" 728 4535 16.0493827160494 73759 111751 66.0029887875724 "70%" 12 123 4
"smartsprites" 14 162 8.58895705521472 6874 7852 87.5445746306673 "90%" 4 129 2
"metrics" 130 524 24.7619047619048 8355 11588 72.1004487400759 "70%" 55 1227 3
"jmeter-maven-plugin" 22 104 20.952380952381 1559 3865 40.3363518758085 "40%" 13 325 4
